year	nb_females	component
1973	71.83333333	harem_size
1974	65.33333333	harem_size
1975	53.66666667	harem_size
1976	47	harem_size
1977	42	harem_size
1978	42	harem_size
1979	38	harem_size
1980	38	harem_size
1981	36.5	harem_size
1982	32.33333333	harem_size
1983	30	harem_size
1984	27.66666667	harem_size
1985	33.33333333	harem_size
1986	28.33333333	harem_size
1987	26.16666667	harem_size
1988	26.16666667	harem_size
1989	27.500	harem_size
1990	21.000	harem_size
1991	18.667	harem_size
1992	19.200	harem_size
1993	17.667	harem_size
1994	19.000	harem_size
1995	18.000	harem_size
1996	19.200	harem_size
1997	14.167	harem_size
1998	17.333	harem_size
1999	16.000	harem_size
2000	17.167	harem_size
2001	20.800	harem_size
2002	24.600	harem_size
2003	21.167	harem_size
2004	21.333	harem_size
2005	22.200	harem_size
2006	22.800	harem_size
2007	19.500	harem_size
2008	22.667	harem_size
2009	18.400	harem_size
2010	20.167	harem_size
2011	21.000	harem_size
2012	15.500	harem_size
2013	18.833	harem_size
2014	23.500	harem_size
2015	19.000	harem_size
2016	24.500	harem_size
1973	13.90322581	females_per_adult_male
1974	21.72222222	females_per_adult_male
1975	22.78571429	females_per_adult_male
1976	11.32	females_per_adult_male
1977	14.88235294	females_per_adult_male
1978	14.88235294	females_per_adult_male
1979	20	females_per_adult_male
1980	20.72727273	females_per_adult_male
1981	12.88235294	females_per_adult_male
1982	32.33333333	females_per_adult_male
1983	12.85714286	females_per_adult_male
1984	18.44444444	females_per_adult_male
1985	22.22222222	females_per_adult_male
1986	18.88888889	females_per_adult_male
1987	9.8125	females_per_adult_male
1988	14.08333333	females_per_adult_male
1989	11.33333333	females_per_adult_male
1990	9.692307692	females_per_adult_male
1991	16	females_per_adult_male
1992	12	females_per_adult_male
1993	11.77777778	females_per_adult_male
1994	10.55555556	females_per_adult_male
1995	9	females_per_adult_male
1996	10.66666667	females_per_adult_male
1997	6.071428571	females_per_adult_male
1998	11.55555556	females_per_adult_male
1999	8	females_per_adult_male
2000	9.363636364	females_per_adult_male
2001	11.55555556	females_per_adult_male
2002	13.66666667	females_per_adult_male
2003	10.58333333	females_per_adult_male
2004	16	females_per_adult_male
2005	12.33333333	females_per_adult_male
2006	14.25	females_per_adult_male
2007	10.63636364	females_per_adult_male
2008	15.11111111	females_per_adult_male
2009	10.22222222	females_per_adult_male
2010	9.307692308	females_per_adult_male
2011	10.5	females_per_adult_male
2012	6.2	females_per_adult_male
2013	11.3	females_per_adult_male
2014	11.75	females_per_adult_male
2015	12.66666667	females_per_adult_male
2016	10.5	females_per_adult_male
